 Date ,Open,High,Low,Close
6/24/2022,3821.75,3913.65,3821.75,3911.74
6/23/2022,3774.71,3802.58,3743.52,3795.73
6/22/2022,3733.89,3801.79,3717.69,3759.89
6/21/2022,3715.31,3779.65,3715.31,3764.79
6/17/2022,3665.9,3707.71,3636.87,3674.84
6/16/2022,3728.18,3728.18,3639.77,3666.77
6/15/2022,3764.05,3837.56,3722.3,3789.99
6/14/2022,3763.52,3778.18,3705.68,3735.48
6/13/2022,3838.15,3838.15,3734.3,3749.63
6/10/2022,3974.39,3974.39,3900.16,3900.86
6/9/2022,4101.65,4119.1,4017.17,4017.82
6/8/2022,4147.12,4160.14,4107.2,4115.77
6/7/2022,4096.47,4164.86,4080.19,4160.68
6/6/2022,4134.72,4168.78,4109.18,4121.43
6/3/2022,4137.57,4142.67,4098.67,4108.54
6/2/2022,4095.41,4177.51,4074.37,4176.82
6/1/2022,4149.78,4166.54,4073.85,4101.23
5/31/2022,4151.09,4168.34,4104.88,4132.15
5/27/2022,4077.25,4158.49,4077.43,4158.24
5/26/2022,3984.6,4075.14,3984.6,4057.84
5/25/2022,3929.59,3999.33,3925.03,3978.73
5/24/2022,3942.94,3955.68,3875.13,3941.48
5/23/2022,3919.42,3981.88,3909.04,3973.75
5/20/2022,3927.76,3943.42,3810.32,3901.36
5/19/2022,3899,3945.96,3876.58,3900.79
5/18/2022,4051.98,4051.98,3911.91,3923.68
5/17/2022,4052,4090.72,4033.93,4088.85
5/16/2022,4013.02,4046.46,3983.99,4008.01
5/13/2022,3963.9,4038.88,3963.9,4023.89
5/12/2022,3903.95,3964.8,3858.87,3930.08
5/11/2022,3990.08,4049.09,3928.82,3935.18
5/10/2022,4035.18,4068.82,3958.17,4001.05
5/9/2022,4081.27,4081.27,3975.48,3991.24
5/6/2022,4128.17,4157.69,4067.91,4123.34
5/5/2022,4270.43,4270.43,4106.01,4146.87
5/4/2022,4181.18,4307.66,4148.91,4300.17
5/3/2022,4159.78,4200.1,4147.08,4175.48
5/2/2022,4130.61,4169.81,4062.51,4155.38
4/29/2022,4253.75,4269.68,4124.28,4131.93
4/28/2022,4222.58,4308.45,4188.63,4287.5
4/27/2022,4186.52,4240.71,4162.9,4183.96
4/26/2022,4278.14,4278.14,4175.04,4175.2
4/25/2022,4255.34,4299.02,4200.82,4296.12
4/22/2022,4385.83,4385.83,4267.62,4271.78
4/21/2022,4489.17,4512.94,4384.47,4393.66
4/20/2022,4472.26,4488.29,4448.76,4459.45
4/19/2022,4390.63,4471.03,4390.63,4462.21
4/18/2022,4385.63,4410.31,4370.3,4391.69
4/14/2022,4449.12,4460.46,4390.77,4392.59
4/13/2022,4394.3,4453.92,4392.7,4446.59
4/12/2022,4437.59,4471,4381.34,4397.45
4/11/2022,4462.64,4464.35,4408.38,4412.53
4/8/2022,4494.15,4520.41,4474.6,4488.28
4/7/2022,4474.65,4521.16,4450.3,4500.21
4/6/2022,4494.17,4503.94,4450.04,4481.15
4/5/2022,4572.45,4593.45,4514.17,4525.12
4/4/2022,4547.97,4583.5,4539.21,4582.64
4/1/2022,4540.32,4548.7,4507.57,4545.86
3/31/2022,4599.02,4603.07,4530.41,4530.41
3/30/2022,4624.2,4627.77,4581.32,4602.45
3/29/2022,4602.86,4637.3,4589.66,4631.6
3/28/2022,4541.09,4575.65,4517.69,4575.52
3/25/2022,4522.91,4546.03,4501.07,4543.06
3/24/2022,4469.98,4520.58,4465.17,4520.16
3/23/2022,4493.1,4501.07,4455.81,4456.24
3/22/2022,4469.1,4522,4469.1,4511.61
3/21/2022,4462.4,4481.75,4424.3,4461.18
3/18/2022,4407.34,4465.4,4390.57,4463.12
3/17/2022,4345.11,4412.67,4335.65,4411.67
3/16/2022,4288.14,4358.9,4251.99,4357.86
3/15/2022,4188.82,4271.05,4187.9,4262.45
3/14/2022,4202.75,4247.57,4161.72,4173.11
3/11/2022,4279.5,4291.01,4200.49,4204.31
3/10/2022,4252.55,4268.28,4209.8,4259.52
3/9/2022,4223.1,4299.4,4223.1,4277.88
3/8/2022,4202.66,4276.94,4157.87,4170.7
3/7/2022,4327.01,4327.01,4199.85,4201.09
3/4/2022,4342.12,4342.12,4284.98,4328.87
3/3/2022,4401.31,4416.78,4345.56,4363.49
3/2/2022,4322.56,4401.48,4322.56,4386.54
3/1/2022,4363.14,4378.45,4279.54,4306.26
2/28/2022,4354.17,4388.84,4315.12,4373.94
2/25/2022,4298.38,4385.34,4286.83,4384.65
2/24/2022,4155.77,4294.73,4114.65,4288.7
2/23/2022,4324.93,4341.51,4221.51,4225.5
2/22/2022,4332.74,4362.12,4267.11,4304.76
2/18/2022,4384.57,4394.6,4327.22,4348.87
2/17/2022,4456.06,4456.06,4373.81,4380.26
2/16/2022,4455.75,4489.55,4429.68,4475.01
2/15/2022,4429.28,4472.77,4429.28,4471.07
2/14/2022,4412.61,4426.22,4364.84,4401.67
2/11/2022,4506.27,4526.33,4401.41,4418.64
2/10/2022,4553.24,4588.92,4484.31,4504.08
2/9/2022,4547,4590.03,4547,4587.18
